id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
92402,0,01-05-1994,0,0,0,10,66033,23%,29,5699,798,5000,01-07-2010,160,01-11-2014
92440,0,01-07-2000,0,0,0,8,3660,6.80%,16,5594,3469,5000,01-07-2010,158,01-06-2007
92507,0,01-10-1997,0,0,0,7,216,0.60%,19,5594,280,5000,01-07-2010,157,01-06-2007
92533,0,01-07-1996,3,0,44,15,27185,16.10%,29,5913,799,5000,01-07-2010,166,01-06-2007
92552,0,01-08-1995,1,0,0,6,28329,48.60%,6,5805,436,5000,01-07-2010,163,01-06-2010
92666,0,01-02-1995,1,0,0,16,60568,39.20%,38,5752,604,5000,01-07-2010,162,01-06-2007
92676,0,01-06-1996,0,0,0,12,40934,26.30%,39,5646,170,5000,01-07-2010,158,01-06-2007
93061,0,01-10-1997,0,0,0,8,8379,16.90%,16,5594,280,5000,01-07-2010,158,01-06-2010
93277,0,01-09-2000,1,0,0,10,3660,7.80%,13,3420,1083,3000,01-07-2010,98,01-07-2010
94838,1,01-02-1997,0,19,0,5,0,0%,8,3499,2975,3000,01-07-2010,99,01-02-2013
96350,0,01-04-1993,0,0,0,10,15840,47.10%,12,5913,1006,5000,01-07-2010,167,01-10-2012
96844,0,01-02-1992,0,0,0,15,6844,14.40%,29,6013,681,5300,01-07-2010,171,01-07-2010
98276,0,01-03-1989,0,0,0,4,1321,16.50%,4,6070,225,5400,01-07-2010,170,01-12-2013
98339,0,01-06-1995,0,0,0,11,4737,23.90%,22,5780,652,5100,01-04-2010,639,01-06-2007
98982,0,01-01-1999,0,0,0,21,23489,37.60%,28,5726,773,5000,01-07-2010,161,01-07-2010
99009,0,01-01-1987,0,0,0,10,2817,10.20%,16,6422,4105,5750,01-05-2010,5,01-04-2010
100214,0,01-08-1991,1,0,0,5,1783,0%,11,5594,4112,5000,01-08-2010,158,01-06-2007
101579,0,01-09-2003,0,0,0,4,3534,54.40%,4,11663,467,10000,01-07-2010,329,01-10-2010
102376,0,01-01-2000,0,0,0,5,2422,23.30%,12,29270,615,25000,01-06-2010,4,01-06-2010
106079,0,01-12-2002,1,0,0,10,2864,41.10%,16,3943,1352,3500,01-03-2009,1799,01-05-2016
106360,0,01-08-2003,1,0,0,12,3075,92.30%,13,3416,696,2700,01-07-2010,97,01-07-2010
107136,1,01-02-1969,2,19,0,10,17214,8.10%,24,13129,1635,12250,01-04-2008,9940,01-07-2007
109355,0,01-05-2004,2,24,0,3,1153,75.80%,4,1426,0,1200,01-07-2010,40,01-07-2010
111227,0,01-01-1996,0,null,null,17,41674,74.10%,26,20340,2846,16077.42,01-02-2010,679,01-05-2016
111307,0,01-04-1995,3,78,0,9,43039,93.40%,24,14450,3011,12000,01-07-2010,403,01-07-2010
111917,0,01-04-2001,0,null,null,7,3362,69.30%,8,7396,4710,6400,01-08-2010,207,01-07-2010
112216,2,01-08-1983,0,2,0,6,11868,71.90%,23,14362,1227,12000,01-03-2011,240,01-03-2011
112245,0,01-02-1985,2,0,0,4,2562,14%,7,5594,4447,5000,01-08-2010,159,01-04-2016
112323,0,01-09-2003,0,0,0,17,1882,32.40%,18,4098,1317,3500,01-09-2010,7,01-08-2010
112496,0,01-07-2000,2,0,61,3,1064,70.90%,6,3580,627,3000,01-08-2010,102,01-07-2010
113156,1,01-11-1993,0,15,0,19,6432,6%,37,3953,3953,3500,01-08-2010,111,01-07-2010
113179,0,01-07-2004,1,0,0,9,4485,36.90%,11,704,669,544.02,01-05-2009,33,01-10-2009
113194,1,01-11-1993,0,5,0,13,16310,20.50%,32,4064,2003,3500,01-08-2010,115,01-07-2010
116040,0,01-04-1991,0,38,0,9,20969,40.20%,26,5779,896,5000,01-08-2010,164,01-08-2010
116582,0,01-03-2000,0,44,0,10,22213,65.90%,22,12261,1196,10000,01-08-2010,344,01-08-2010
117056,0,01-12-1992,1,47,0,12,2160,2.30%,22,5593,1650,5000,01-01-2010,1222,01-01-2010
117249,0,01-09-1980,0,0,0,13,813,1%,36,5496,1429,5000,01-06-2009,2234,01-06-2009
117794,0,01-05-1993,4,0,0,15,23678,24.40%,60,7827,418,7500,01-03-2008,6416,01-06-2007
117863,0,01-05-2000,3,0,0,10,11289,47.80%,15,9200,2617,8000,01-05-2010,155,01-02-2014
118523,0,01-07-1990,0,0,0,11,56411,75.30%,28,4055,140,2886.21,01-02-2009,226,01-05-2016
118533,0,01-02-1994,3,0,0,9,269,3.80%,35,2087,689,1730.83,01-03-2010,2,01-05-2016
118823,0,01-07-1992,1,0,0,11,3408,35.10%,32,2221,600,1706.01,01-03-2010,2,01-05-2016
119043,0,01-11-1992,3,54,111,13,6513,34.30%,29,11653,452,8688.59,01-10-2009,1017,01-03-2010
120215,0,01-11-2002,0,0,0,2,330,11%,4,4475,3999,4000,01-08-2010,120,01-04-2015
120374,0,01-08-2000,1,24,0,13,5967,19.80%,17,2280,542,2000,01-08-2010,65,01-08-2010
120525,0,01-08-2001,1,0,0,4,5533,79.60%,5,4709,1737,4000,01-08-2010,135,01-06-2011
121426,0,01-09-1984,0,0,0,15,21050,1%,24,3126,3100,3000,01-04-2008,2564,01-08-2007
121530,0,01-09-1984,0,0,0,17,21050,0.70%,29,3126,2319,3000,01-04-2008,2564,01-08-2007
121535,0,01-05-1999,1,null,null,6,8155,14.90%,8,3192,1853,2800,01-09-2010,90,01-08-2007
121568,0,01-05-1999,1,null,null,6,8155,14.90%,8,4623,2225,4000,01-09-2010,130,01-08-2007
121824,0,01-02-2000,0,0,0,10,3678,30.70%,14,3159,2291,3000,01-05-2008,2495,01-01-2015
122070,0,01-07-1999,2,42,0,10,2040,36.20%,21,6447,1970,5400,01-04-2010,1056,01-01-2012
122404,0,01-03-2000,2,0,0,9,33074,68.80%,9,13814,1734,12750,01-04-2008,11150,01-08-2007
122637,0,01-09-2000,0,0,0,12,1918,17.10%,16,4496,1743,4000,01-09-2010,127,01-08-2010
122718,0,01-10-2002,0,0,0,8,22379,62.20%,15,20043,867,18500,01-04-2008,16178,01-02-2011
123228,0,01-08-2001,0,0,0,4,10296,42.50%,8,12839,625,10395.56,01-05-2009,643,01-05-2016
123230,0,01-02-2004,3,0,0,16,2867,55.10%,17,629,282,455.95,01-03-2008,105,01-04-2016
124436,0,01-10-2002,0,0,0,9,12310,86.10%,15,5676,3636,4800,01-09-2010,161,01-08-2014
125671,0,01-02-1971,0,0,0,10,61921,39.10%,27,13820,5785,12125,01-09-2010,386,01-09-2010
125897,0,01-06-1997,2,0,0,9,16738,26.10%,24,7175,2518,6625,01-08-2008,2330,01-11-2015
126213,0,01-05-1991,1,0,0,13,40384,9.20%,28,10728,4404,9500,01-09-2010,300,01-09-2010
126215,0,01-10-2001,2,0,0,8,1359,5.60%,16,5460,2294,5000,01-05-2009,144,01-05-2009
126287,0,01-06-1979,2,0,0,18,107501,44.80%,34,11069,3238,10000,01-10-2008,7111,01-09-2008
126392,0,01-09-1985,3,0,0,14,3054,5.60%,41,10436,2844,10000,01-04-2008,8554,01-08-2007
126776,0,01-11-1983,0,0,0,11,40384,9.60%,25,10728,1384,9500,01-10-2010,306,01-09-2010
126788,0,01-04-1995,3,0,0,9,128000,0%,18,8105,6268,7500,01-09-2008,5469,01-08-2008
127213,0,01-06-1991,0,null,null,14,4709,18.50%,8,2220,1748,2000,01-04-2010,4,01-04-2010
127353,1,01-09-1992,0,4,0,5,2850,75%,19,3382,1246,2850,01-04-2010,10,01-04-2010
127472,0,01-07-1996,0,46,0,5,51,0%,9,2581,667,943.58,01-03-2009,74,01-05-2016
127504,0,01-02-1993,0,0,0,7,37152,3.70%,19,11292,1490,10000,01-11-2010,318,01-11-2010
127531,0,01-01-1992,1,0,0,13,3839,16.60%,24,19556,346,17000,01-09-2010,546,01-11-2015
127719,0,01-02-1993,0,0,0,6,37152,3.70%,12,11292,4142,10000,01-11-2010,324,01-11-2010
127830,1,01-10-1997,0,22,0,15,26283,39.50%,20,7295,137,5717.45,01-12-2009,267,01-05-2010
128635,0,01-12-2002,0,0,0,6,5607,42.20%,7,7649,589,6500,01-10-2010,189,01-04-2012
128881,0,01-08-2004,3,0,0,3,1061,81.90%,4,8571,92,7000,01-11-2010,127,01-10-2010
129745,0,01-11-1994,1,0,0,8,56740,77.50%,23,11664,321,10000,01-10-2010,328,01-09-2010
130512,0,01-08-1992,1,0,0,11,40598,77.30%,42,8193,481,7250,01-05-2009,3947,01-03-2010
130735,0,01-03-2004,1,0,0,28,3815,6.50%,32,11445,1033,10250,01-09-2008,7925,01-08-2008
130907,0,01-12-1996,1,64,0,10,0,0%,22,4192,1028,3775,01-08-2010,10,01-03-2016
130986,0,01-05-1963,0,0,0,4,50,0.30%,6,2339,2033,2100,01-10-2010,70,01-12-2010
131223,0,01-11-1997,1,34,0,4,4569,56.40%,7,25189,1512,20000,01-10-2010,708,01-09-2010
131387,0,01-04-1999,0,0,0,6,8528,86.10%,7,7030,703,6000,01-10-2010,199,01-09-2010
131618,0,01-01-2000,0,0,0,11,14345,45.80%,21,10642,917,9000,01-10-2010,299,01-03-2013
131649,0,01-07-1998,1,41,0,11,113,2.40%,21,7834,1212,6625,01-10-2010,220,01-09-2010
131782,0,01-04-1999,3,0,0,8,12231,81%,13,6138,813,4386.34,01-12-2009,51,01-05-2010
132062,1,01-06-1997,0,8,0,14,13552,69.10%,18,8944,1553,7200,01-10-2010,253,01-04-2016
132172,0,01-11-2000,0,0,0,11,16813,63.90%,13,6940,1041,6000,01-02-2010,1693,01-02-2010
132892,0,01-08-1997,3,60,117,9,26233,62.90%,37,4016,312,1496.83,01-05-2008,302,01-05-2016
132946,0,01-07-1982,0,0,0,7,5760,16%,10,5901,1091,5275,01-10-2010,173,01-10-2010
133301,1,01-11-1989,1,22,0,3,105,35%,25,4074,678,2938.05,01-10-2009,151,01-05-2016
133685,0,01-10-2001,0,0,0,10,11490,95.70%,11,7763,1114,6625,01-02-2010,1889,01-03-2010
134436,1,01-05-1993,3,23,0,13,17641,30.50%,24,3069,1216,2525,01-10-2010,90,01-08-2015
135201,0,01-10-1998,3,0,0,5,0,0%,9,10274,206,10000,01-01-2008,9618,01-09-2007
135594,0,01-09-1983,1,0,0,13,12430,19.20%,32,5505,1305,5275,01-05-2008,4513,01-09-2007
136226,0,01-06-2003,0,0,0,8,12323,44%,16,5036,996,4300,01-04-2010,965,01-05-2016
136316,0,01-09-1998,0,0,0,10,38624,97.80%,23,3516,1308,3025,01-05-2010,577,01-05-2016
136491,1,01-08-2001,2,15,0,5,875,54.70%,8,2478,780,1756.71,01-07-2009,334,01-03-2015
136634,4,01-12-1987,3,15,0,7,1196,12%,16,10236,1536,8500,01-10-2010,290,01-10-2010
137042,1,01-03-2000,3,12,0,9,26628,60.40%,18,6990,897,5650,01-10-2010,204,01-10-2010
137106,0,01-11-1991,2,0,0,12,6752,24.60%,18,4383,539,4275,01-01-2008,4106,01-10-2007
137271,0,01-09-2003,1,0,0,3,458,91.60%,3,2314,1212,400.45,01-06-2008,71,01-05-2016
137965,0,01-02-1998,0,0,0,7,16786,44.70%,12,9014,3916,8000,01-02-2010,2223,01-01-2011
138557,0,01-02-1981,0,76,0,10,7336,29.90%,20,9475,716,8275,01-10-2010,266,01-10-2010
138568,0,01-08-1997,1,0,0,10,7089,41.90%,25,3768,1467,3275,01-10-2010,115,01-10-2010
139057,0,01-10-1993,0,0,0,7,18388,68.90%,22,6208,1750,5500,01-09-2010,13,01-09-2010
139657,0,01-07-2002,2,54,0,2,613,76.60%,7,1394,350,1200,01-11-2010,41,01-07-2013
139790,1,01-09-2004,3,14,0,3,566,51.50%,5,3598,2638,1956.75,01-12-2009,101,01-05-2016
139968,0,01-09-2001,1,41,0,9,9166,50.40%,20,12075,2627,10000,01-07-2010,1334,01-04-2012
139980,0,01-05-1994,0,62,76,6,5406,33.40%,14,4821,1348,3891.56,01-03-2010,164,01-08-2010
140036,0,01-11-2001,2,0,0,7,1188,3%,7,869,478,719.9,01-01-2010,33,01-05-2016
140452,0,01-12-1976,1,0,0,9,12003,40.40%,9,3529,2147,3000,01-10-2010,109,01-10-2010
140561,0,01-08-1994,1,0,0,9,20511,62%,9,521,53,323.55,01-05-2008,73,01-01-2009
140687,0,01-09-1997,2,0,0,11,55720,10%,41,3265,1965,2825,01-11-2010,97,01-05-2016
140900,0,01-10-1980,0,0,0,14,7744,17.10%,34,8540,594,8275,01-04-2008,7502,01-10-2007
141041,0,01-11-1992,1,0,0,12,51761,38%,37,6096,1012,5275,01-11-2010,172,01-10-2010
141676,0,01-09-2003,0,0,0,10,579,23.20%,15,6891,1522,6225,01-12-2008,4428,01-09-2015
141774,0,01-12-1982,0,0,0,15,34776,54.30%,41,1606,652,1028.79,01-08-2008,163,01-05-2016
142281,0,01-08-2002,0,0,0,15,8047,33.80%,15,7851,617,7000,01-05-2009,3996,01-04-2016
142608,0,01-01-1999,3,0,0,6,0,0%,6,5932,2788,5000,01-10-2010,491,01-09-2010
142618,1,01-09-2000,0,9,0,5,409,81.80%,17,5702,1931,4800,01-11-2010,163,01-10-2010
142734,0,01-04-1981,0,0,0,9,185,0.50%,18,27753,1915,25000,01-06-2009,13443,01-06-2009
142790,0,01-06-1990,2,0,0,13,48251,50.10%,28,5665,2013,4925,01-06-2010,666,01-05-2016
143102,0,01-09-2000,0,59,0,23,772,96.50%,29,3500,2336,3000,01-11-2010,99,01-11-2010
143128,1,01-05-1999,1,11,0,9,1019,4.50%,13,9505,1598,8000,01-11-2010,274,01-04-2016
143566,0,01-05-1992,2,38,0,11,8332,39.90%,28,14567,324,12375,01-11-2010,406,01-10-2010
144579,0,01-02-1991,1,0,0,12,1790,4.50%,22,10462,4382,9850,01-10-2008,7388,01-10-2008
144635,0,01-06-1990,3,0,0,14,62739,74.70%,33,9240,1372,6646.07,01-10-2008,840,01-05-2016
146564,0,01-01-1995,2,60,0,6,29901,71.20%,19,8095,2248,6700.52,01-05-2010,554,01-05-2016
146641,0,01-07-2003,1,0,0,6,5867,74.30%,7,8232,5197,8000,01-02-2008,7704,01-10-2007
146671,0,01-12-2001,1,0,0,8,10605,22.10%,27,26132,2980,25000,01-05-2008,22121,01-08-2009
146844,0,01-05-1981,3,0,0,27,57196,44.50%,39,12700,2872,6316.3,01-12-2011,101,01-12-2011
148473,0,01-05-1994,2,28,0,4,481,80.20%,17,4485,818,3239.25,01-07-2009,501,01-01-2011
149575,0,01-07-2003,1,0,0,2,2282,19%,2,11122,3059,10000,01-10-2009,20,01-10-2009
149754,0,01-09-2004,1,0,0,8,3614,61.30%,13,4709,1140,3999.99,01-11-2010,136,01-05-2016
150940,0,01-02-1989,1,0,113,9,14930,79%,21,8175,1168,7000,01-05-2010,1572,01-04-2016
151587,0,01-01-1979,0,0,0,7,33989,82.90%,16,22760,771,19950,01-11-2009,7967,01-11-2009
151607,1,01-08-2003,1,5,0,4,1238,61.90%,6,1665,972,1500,01-09-2008,1200,01-08-2008
151621,0,01-04-1987,2,30,0,14,4746,18.50%,33,20610,401,18000,01-11-2010,575,01-11-2010
152291,0,01-07-1999,0,0,0,7,3470,25.50%,8,5396,1238,4800,01-11-2010,152,01-11-2010
152663,0,01-12-2002,0,0,0,9,12640,83.20%,12,3162,2345,3000,01-06-2008,2582,01-01-2008
153022,0,01-04-1985,0,0,0,7,368,1.20%,15,3340,2032,3000,01-10-2010,12,01-10-2010
153054,1,01-02-1996,1,9,0,5,30597,89.50%,25,6691,1225,5875,01-07-2009,3045,01-08-2009
153235,0,01-01-1994,0,0,0,5,8537,75.50%,5,21381,665,18000,01-11-2010,598,01-10-2011
153434,0,01-09-2003,2,0,0,10,15649,54.50%,23,14205,810,11999.99,01-11-2010,307,01-08-2011
154141,0,01-05-1972,0,0,0,10,4067,7.30%,24,5418,1355,5000,01-03-2009,3077,01-12-2010
154154,0,01-03-2000,0,52,114,11,5836,68.70%,12,5135,1177,4800,01-08-2008,3892,01-08-2008
154286,0,01-12-1993,0,0,0,3,24615,94.70%,6,17587,1144,15000,01-03-2011,574,01-02-2011
154305,0,01-10-1993,0,64,5,5,7600,71.70%,10,4199,1380,3599.99,01-11-2010,118,01-01-2011
154776,0,01-09-2002,2,0,0,8,9495,87.90%,8,2010,259,1492.33,01-08-2008,224,01-03-2015
155780,0,01-07-1990,0,0,0,9,4921,30.40%,9,5163,861,4800,01-01-2009,3215,01-01-2009
156021,0,01-07-1998,1,0,0,7,11200,23.20%,11,7776,1276,6400,01-04-2012,74,01-03-2012
156417,0,01-07-1987,3,0,0,12,2444,5.60%,31,6209,1087,6000,01-06-2008,5279,01-09-2013
156868,0,01-02-2002,0,0,0,8,916,6.80%,8,28483,1324,24750,01-01-2011,813,01-12-2010
157169,0,01-11-1997,5,0,0,12,148829,6.60%,43,10362,207,8260.95,01-12-2008,822,01-05-2016
157768,0,01-12-1997,0,29,0,14,3209,12.60%,37,4560,488,3999.99,01-12-2010,129,01-02-2011
158289,0,01-05-1997,0,34,0,7,7570,82.30%,16,10594,864,9000,01-12-2010,298,01-04-2016
158706,0,01-12-2000,0,0,103,4,13126,96.50%,4,14371,1162,12375,01-02-2010,4260,01-05-2014
159468,0,01-09-1995,1,0,0,16,66654,51.60%,34,13400,2122,12000,01-02-2009,8232,01-02-2009
159665,0,01-05-1963,0,0,0,4,50,0.30%,6,6433,1793,5750,01-12-2010,184,01-12-2010
159713,0,01-03-2002,3,0,0,4,3084,65.60%,4,987,713,804.23,01-05-2011,30,01-05-2016
161187,0,01-07-1992,1,0,0,10,2598,23.80%,15,14774,1141,12950,01-12-2009,5172,01-12-2009
163627,0,01-07-1990,2,32,0,15,18168,68.50%,30,4687,1124,4000,01-12-2010,135,01-02-2013
163758,0,01-03-1982,2,0,0,7,24218,85.30%,7,3548,595,2999.99,01-12-2010,100,01-12-2010
164346,0,01-11-2003,0,0,0,4,0,0%,4,566,453,500,01-12-2010,34,01-11-2015
164741,0,01-11-1987,1,59,0,9,72303,73.70%,33,18833,606,16000,01-12-2010,527,01-12-2010
164792,0,01-10-2004,0,0,0,6,1032,5%,7,18921,1076,17600,01-12-2008,12792,01-12-2008
166437,0,01-12-1997,1,33,0,6,133,4.20%,20,11290,794,9600,01-08-2010,117,01-04-2016
166534,2,01-01-2002,1,6,0,15,34023,57.70%,19,8878,110,6435.58,01-04-2009,528,01-12-2009
166546,0,01-08-1995,5,0,0,8,12430,29.60%,14,3136,262,3000,01-08-2008,2484,01-12-2009
166683,0,01-10-1979,3,0,0,24,10742,8.90%,43,7306,1427,6499.99,01-12-2010,205,01-05-2014
166747,2,01-04-2000,0,15,0,5,2197,75.80%,13,2832,198,1997.01,01-04-2009,708,01-12-2009
167189,3,01-10-1995,1,7,0,4,88,23.80%,18,1588,73,1213.7,01-10-2008,159,01-05-2016
167205,0,01-09-1988,0,42,0,15,13867,33.70%,24,17496,409,15000,01-12-2010,491,01-02-2011
167584,0,01-06-1994,3,80,0,2,3943,98.60%,5,4514,158,3494.37,01-02-2009,323,01-02-2016
167645,0,01-04-1997,2,0,0,3,5405,40%,19,6779,791,6000,01-04-2010,4,01-07-2015
167846,0,01-08-1999,1,0,0,9,12102,49%,15,13442,1755,11300,01-06-2010,8,01-06-2010
168100,0,01-12-1995,1,0,0,12,18076,81.40%,25,21558,632,17999.99,01-11-2010,6,01-11-2010
168190,0,01-06-1993,1,25,0,8,4504,39.20%,11,2530,540,1901,01-08-2009,133,01-05-2016
168222,0,01-08-1994,0,0,0,8,25852,60.50%,27,27393,357,25000,01-11-2008,19107,01-10-2008
169044,1,01-11-1985,0,17,0,12,32438,43%,23,21806,177,18499.99,01-01-2011,637,01-12-2010
169254,0,01-10-1990,2,0,0,9,20380,48.10%,26,18868,472,17000,01-08-2009,8643,01-05-2016
169354,0,01-10-2001,0,0,0,11,38054,61.20%,12,5895,411,5400,01-02-2009,3655,01-02-2009
169453,0,01-01-2004,2,0,0,4,25,0.20%,4,20480,831,18500,01-02-2009,12618,01-03-2014
169525,0,01-01-2003,2,0,0,9,3305,55.10%,10,10479,409,9000,01-01-2011,2,01-01-2011
169793,0,01-03-1997,0,46,0,11,348,4.80%,25,7895,363,5558.08,01-02-2009,531,01-11-2009
170488,0,01-03-2004,0,0,0,6,3015,25.30%,9,5682,455,5000,01-07-2010,934,01-07-2010
170528,0,01-04-2002,1,0,0,9,7336,71.90%,24,14060,761,12000,01-12-2010,394,01-02-2016
170929,0,01-10-1989,1,44,0,6,8644,72.60%,14,10043,1256,9000,01-01-2009,6433,01-12-2012
171220,0,01-12-1997,2,0,0,5,93,0%,8,18931,327,4882.92,01-03-2009,201,01-05-2016
171298,0,01-01-2000,0,0,0,7,2698,9.50%,17,7831,1119,7000,01-12-2010,226,01-12-2010
172644,0,01-10-1994,0,74,0,11,19009,30%,18,13997,182,12000,01-12-2010,392,01-11-2011
172802,1,01-07-1972,2,17,0,7,498,7.30%,25,5699,798,5000,01-12-2010,160,01-04-2016
173029,0,01-12-1994,2,41,70,11,10358,91.70%,24,8312,995,6335.33,01-04-2010,417,01-09-2010
173981,3,01-12-1972,0,19,0,6,2105,45.30%,33,3702,608,3200,01-04-2010,903,01-07-2014
174377,0,01-10-1999,3,60,0,12,2822,9.90%,24,5481,1770,4800,01-02-2010,1632,01-02-2010
175056,0,01-01-1994,0,0,0,6,21004,97.70%,35,23068,318,20000,01-01-2010,7447,01-06-2014
175147,0,01-03-2000,1,61,0,17,11675,75.80%,29,2943,2320,2400,01-12-2010,86,01-05-2016
175193,0,01-07-2004,0,0,0,2,3933,43.70%,3,8588,1060,7500,01-12-2010,243,01-12-2010
175582,0,01-09-1996,3,59,47,6,7251,80.60%,15,12061,754,10000,01-08-2010,1650,01-05-2016
176062,3,01-10-1995,1,8,0,3,88,44%,17,932,233,678.15,01-10-2008,94,01-05-2016
176206,0,01-02-1995,2,0,0,4,1492,33.20%,5,3451,863,3000,01-12-2010,101,01-05-2011
176610,0,01-09-2002,0,0,0,8,7121,33.70%,9,3454,874,2975,01-12-2010,99,01-12-2010
176942,0,01-07-1999,2,0,0,8,17641,69.50%,18,19577,801,16500,01-03-2010,1951,01-04-2010
176995,0,01-07-1999,3,39,0,10,30946,61.50%,18,12771,343,8471.54,01-02-2009,860,01-12-2009
177075,0,01-09-1991,0,0,0,7,0,0%,30,17017,2207,15000,01-12-2010,483,01-08-2015
177259,0,01-08-2000,1,0,0,5,23391,90.70%,14,19761,468,17950,01-01-2009,12720,01-01-2009
177913,0,01-10-1991,0,0,0,11,16324,48%,25,7931,397,7000,01-11-2009,2989,01-11-2009
178157,0,01-08-2000,2,0,0,7,7104,93.50%,25,5512,48,2812.13,01-10-2009,51,01-02-2010
178236,0,01-08-2002,0,0,0,7,9273,43.90%,10,14194,296,12000,01-02-2010,4186,01-11-2010
178239,0,01-12-1995,3,0,0,8,6718,94.60%,11,8354,607,6999.99,01-12-2010,237,01-09-2015
178977,0,01-05-1992,4,0,0,19,12017,12.10%,55,7222,22,5591.61,01-10-2008,803,01-05-2016
179020,1,01-01-1993,1,19,0,9,5749,43.20%,23,10977,208,9325,01-12-2010,308,01-12-2010
179897,1,01-12-1994,0,6,0,7,6530,21.80%,13,30104,533,25000,01-12-2010,838,01-12-2010
